text,position,frequency,total,percentage
re,5,76,992,0.08
ae,1,3,8,0.38
er,2,149,1109,0.13
sp,5,10,160,0.06
ac,7,16,322,0.05
ce,8,40,386,0.1
af,1,20,40,0.5
ff,2,40,76,0.53
fa,3,8,101,0.08
ai,4,33,218,0.15
rs,6,70,321,0.22
fe,3,46,121,0.38
ec,4,65,322,0.2
fi,3,28,191,0.15
il,4,42,266,0.16
ia,6,53,255,0.21
at,7,111,777,0.14
fo,3,17,126,0.13
fg,2,1,2,0.5
gh,3,38,105,0.36
ha,4,20,244,0.08
ni,6,40,270,0.15
st,8,16,638,0.03
ta,9,12,380,0.03
an,10,4,722,0.01
fr,2,4,62,0.06
id,5,34,174,0.2
an,6,61,722,0.08
ft,2,5,30,0.17
te,3,168,792,0.21
rn,5,28,97,0.29
no,6,4,132,0.03
oo,7,6,150,0.04
rw,5,3,12,0.25
wa,6,6,129,0.05
ar,7,32,680,0.05
rd,8,4,129,0.03
ds,9,3,115,0.03
ag,1,22,144,0.15
ga,2,3,122,0.02
ai,3,40,218,0.18
ns,5,44,456,0.1
st,6,71,638,0.11
ge,2,8,274,0.03
ed,3,30,685,0.04
en,3,64,842,0.08
nc,4,26,254,0.1
ci,5,38,192,0.2
ie,6,34,284,0.12
cy,5,3,35,0.09
da,5,20,146,0.14
nt,4,77,657,0.12
es,3,58,933,0.06
gg,2,4,23,0.17
gr,3,11,132,0.08
eg,5,4,94,0.04
ga,6,3,122,0.02
iv,8,18,184,0.1
ve,9,17,415,0.04
gi,2,2,102,0.02
in,3,97,1317,0.07
ng,4,31,697,0.04
go,2,1,60,0.02
gr,2,7,132,0.05
ee,4,20,175,0.11
me,6,50,429,0.12
nt,8,64,657,0.1
ts,9,16,272,0.06
cu,5,6,114,0.05
ul,6,17,141,0.12
lt,7,4,88,0.05
tu,8,14,164,0.09
ur,9,14,315,0.04
ra,10,1,589,0.0
al,11,20,646,0.03
ah,1,2,21,0.1
he,2,84,291,0.29
ea,3,77,373,0.21
ad,4,21,236,0.09
ai,1,14,218,0.06
id,2,39,174,0.22
im,2,45,158,0.28
me,3,73,429,0.17
ms,3,8,59,0.14
ir,2,75,165,0.45
rc,3,36,84,0.43
cr,4,12,129,0.09
af,6,3,40,0.07
ft,7,3,30,0.1
rf,3,16,25,0.64
fa,4,7,101,0.07
ar,5,69,680,0.1
rl,3,25,53,0.47
in,5,290,1317,0.22
ne,6,58,412,0.14
rp,3,19,36,0.53
pl,4,47,174,0.27
la,5,52,372,0.14
po,4,49,231,0.21
or,5,89,599,0.15
rt,6,23,226,0.1
aj,1,1,3,0.33
ak,1,2,59,0.03
ka,2,3,26,0.12
al,1,70,646,0.11
la,2,90,372,0.24
ab,3,16,132,0.12
ba,4,17,155,0.11
am,5,18,211,0.09
ma,6,16,334,0.05
ar,3,113,680,0.17
rm,4,15,109,0.14
as,3,58,305,0.19
sk,4,1,35,0.03
ka,5,1,26,0.04
lb,2,8,14,0.57
ba,3,14,155,0.09
ny,5,4,44,0.09
be,3,24,169,0.14
bu,3,9,97,0.09
um,4,30,110,0.27
ms,5,6,59,0.1
uq,4,1,2,0.5
qu,5,4,101,0.04
ue,6,6,87,0.07
er,7,96,1109,0.09
rq,8,1,1,1.0
qu,9,1,101,0.01
ue,10,1,87,0.01
lc,2,3,14,0.21
oh,4,1,10,0.1
ho,5,9,224,0.04
ol,6,20,281,0.07
le,2,59,569,0.1
ex,3,8,168,0.05
xa,4,2,18,0.11
nd,6,31,356,0.09
er,8,56,1109,0.05
dr,7,1,71,0.01
ia,9,14,255,0.05
lf,2,1,17,0.06
fr,3,6,62,0.1
lg,2,4,9,0.44
ge,3,38,274,0.14
eb,4,12,48,0.25
br,5,6,112,0.05
ra,6,60,589,0.1
ri,5,96,558,0.17
go,3,11,60,0.18
th,7,7,256,0.03
hm,8,2,10,0.2
ms,9,2,59,0.03
li,2,44,463,0.1
ia,3,8,255,0.03
as,4,30,305,0.1
ic,3,36,454,0.08
ce,4,81,386,0.21
ie,3,28,284,0.1
ig,3,26,160,0.16
gn,4,6,50,0.12
nm,5,1,13,0.08
ik,3,3,26,0.12
ke,4,65,155,0.42
iv,3,21,184,0.11
ll,2,26,300,0.09
la,3,48,372,0.13
eg,4,13,94,0.14
ge,5,40,274,0.15
rg,5,5,75,0.07
gy,6,4,23,0.17
li,3,67,463,0.14
nc,6,33,254,0.13
lo,3,38,285,0.13
ow,4,11,128,0.09
wa,5,16,129,0.12
nc,7,28,254,0.11
we,5,2,104,0.02
wi,5,7,105,0.07
in,6,167,1317,0.13
ng,7,119,697,0.17
ws,5,2,31,0.06
oy,4,5,32,0.16
lm,2,1,15,0.07
mo,3,35,194,0.18
lo,2,71,285,0.25
on,3,47,1066,0.04
ne,4,82,412,0.2
ot,3,62,182,0.34
lp,2,4,16,0.25
ph,3,4,94,0.04
ab,5,14,132,0.11
be,6,9,169,0.05
et,7,12,276,0.04
ic,9,14,454,0.03
